STATION,STATION_NAME,DATE,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110611,6/11/11,0,0,0,-9999,66,52
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110612,6/12/11,0.01,0,0,-9999,70,48
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110613,6/13/11,0.11,0,0,-9999,68,52
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110614,6/14/11,0,0,0,-9999,63,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110615,6/15/11,0.06,0,0,-9999,65,48
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110616,6/16/11,0,0,0,-9999,70,46
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110617,6/17/11,0,0,0,-9999,71,46
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110618,6/18/11,0.41,0,0,-9999,58,53
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110619,6/19/11,0.03,0,0,-9999,63,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110620,6/20/11,0,0,0,-9999,70,54
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110621,6/21/11,0,0,0,-9999,78,54
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110622,6/22/11,0,0,0,-9999,67,52
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110623,6/23/11,0.07,0,0,-9999,66,50
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110624,6/24/11,0.26,0,0,-9999,67,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110625,6/25/11,0.01,0,0,-9999,68,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110626,6/26/11,0,0,0,-9999,72,48
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110627,6/27/11,0,0,0,-9999,69,58
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110628,6/28/11,0,0,0,-9999,74,58
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110629,6/29/11,0,0,0,-9999,67,54
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110630,6/30/11,0,0,0,-9999,67,53
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110701,7/1/11,0,0,0,-9999,72,49
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110702,7/2/11,0,0,0,-9999,82,52
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110703,7/3/11,0,0,0,-9999,72,56
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110704,7/4/11,0,0,0,-9999,78,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110705,7/5/11,0,0,0,-9999,81,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110706,7/6/11,0,0,0,-9999,84,57
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110707,7/7/11,0.03,0,0,-9999,67,54
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110708,7/8/11,0,0,0,-9999,71,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110709,7/9/11,0,0,0,-9999,74,52
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110710,7/10/11,0,0,0,-9999,76,55
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110711,7/11/11,0,0,0,-9999,75,55
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110712,7/12/11,0.08,0,0,-9999,70,57
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110713,7/13/11,0,0,0,-9999,73,55
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110714,7/14/11,0.02,0,0,-9999,62,56
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110715,7/15/11,0.02,0,0,-9999,76,56
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110716,7/16/11,0.35,0,0,-9999,74,57
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110717,7/17/11,0.07,0,0,-9999,63,55
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110718,7/18/11,0,0,0,-9999,74,50
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110719,7/19/11,0,0,0,-9999,70,55
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110720,7/20/11,0,0,0,-9999,74,54
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110721,7/21/11,0,0,0,-9999,70,57
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110722,7/22/11,0,0,0,-9999,72,51
GHCND:USW00024233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,20110723,7/23/11,0,0,0,-9999,79,54
